k,Kx,Ky,Ka,Px_,Py_,Pa_,
1,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.0918181836605072,0.0918181836605072,0.0918181836605072,1.0099999904632568,1.0099999904632568,1.0099999904632568,
3,0.08493552356958389,0.08493552356958389,0.08493552356958389,0.9272635579109192,0.9272635579109192,0.9272635579109192,
4,0.07913586497306824,0.07913586497306824,0.07913586497306824,0.85850590467453,0.85850590467453,0.85850590467453,
5,0.07419139891862869,0.07419139891862869,0.07419139891862869,0.8005672693252563,0.8005672693252563,0.8005672693252563,
6,0.06993390619754791,0.06993390619754791,0.06993390619754791,0.7511720657348633,0.7511720657348633,0.7511720657348633,
7,0.06623642891645432,0.06623642891645432,0.06623642891645432,0.7086396813392639,0.7086396813392639,0.7086396813392639,
8,0.06300137937068939,0.06300137937068939,0.06300137937068939,0.6717019081115723,0.6717019081115723,0.6717019081115723,
9,0.06015247106552124,0.06015247106552124,0.06015247106552124,0.6393837332725525,0.6393837332725525,0.6393837332725525,
10,0.05762924626469612,0.05762924626469612,0.05762924626469612,0.6109232306480408,0.6109232306480408,0.6109232306480408,
11,0.05538312345743179,0.05538312345743179,0.05538312345743179,0.585716187953949,0.585716187953949,0.585716187953949,
12,0.05337464064359665,0.05337464064359665,0.05337464064359665,0.5632773637771606,0.5632773637771606,0.5632773637771606,
13,0.05157141387462616,0.05157141387462616,0.05157141387462616,0.5432126522064209,0.5432126522064209,0.5432126522064209,
14,0.04994659870862961,0.04994659870862961,0.04994659870862961,0.5251984000205994,0.5251984000205994,0.5251984000205994,
15,0.04847777262330055,0.04847777262330055,0.04847777262330055,0.5089665055274963,0.5089665055274963,0.5089665055274963,
16,0.04714604467153549,0.04714604467153549,0.04714604467153549,0.4942929446697235,0.4942929446697235,0.4942929446697235,
17,0.04593539237976074,0.04593539237976074,0.04593539237976074,0.4809889793395996,0.4809889793395996,0.4809889793395996,
18,0.04483213275671005,0.04483213275671005,0.04483213275671005,0.4688945412635803,0.4688945412635803,0.4688945412635803,
19,0.043824516236782074,0.043824516236782074,0.043824516236782074,0.45787298679351807,0.45787298679351807,0.45787298679351807,
20,0.042902395129203796,0.042902395129203796,0.042902395129203796,0.4478069245815277,0.4478069245815277,0.4478069245815277,
21,0.04205695167183876,0.04205695167183876,0.04205695167183876,0.43859490752220154,0.43859490752220154,0.43859490752220154,
22,0.04128049686551094,0.04128049686551094,0.04128049686551094,0.4301489293575287,0.4301489293575287,0.4301489293575287,
23,0.04056629166007042,0.04056629166007042,0.04056629166007042,0.4223921597003937,0.4223921597003937,0.4223921597003937,
24,0.039908409118652344,0.039908409118652344,0.039908409118652344,0.4152572751045227,0.4152572751045227,0.4152572751045227,
25,0.03930160030722618,0.03930160030722618,0.03930160030722618,0.40868499875068665,0.40868499875068665,0.40868499875068665,
26,0.03874123468995094,0.03874123468995094,0.03874123468995094,0.4026230275630951,0.4026230275630951,0.4026230275630951,
27,0.038223158568143845,0.038223158568143845,0.038223158568143845,0.39702489972114563,0.39702489972114563,0.39702489972114563,
