k,dx,dy,da,
1,-0.45414306187527953,0.2878877007791082,0.00010180440999006668,
2,-0.9262697722715194,0.8557760348818121,0.00023207437896083372,
3,-1.2629142264923436,0.6886934831730358,0.00026264118719292585,
4,-1.5665230049575571,1.1766899308164867,0.0003051002645063951,
5,-2.1289774758003417,1.3801358317280852,0.00038700066573610587,
6,-2.467048176229841,1.6747040012751535,0.0004379178690977325,
7,-2.8530491392589306,1.8578457362107312,0.0003627342936812913,
8,-3.2296382645822304,2.2113804964513126,0.00033539327817514895,
9,-3.746211243826167,2.8340048694475493,0.0003938520580151067,
10,-3.9993108345366393,2.8413041571112085,0.00034623842888715584,
11,-4.273199436719221,3.0134579151557244,0.00037437427773087163,
12,-4.64119408694349,3.217683272991489,0.00038325432414741494,
13,-5.0370097189399266,3.1959383096711482,0.000523103154596554,
14,-5.54636365274283,3.435064651932376,0.0004883641671267104,
15,-5.836164935337376,3.650831904402189,0.0005191709554373887,
16,-6.379049285270888,3.508618699209621,0.00042284206311877983,
17,-6.65291413928473,3.773347394925609,0.0003239682763857845,
18,-7.209178880722366,3.6866961753871967,0.0002500783252901747,
19,-7.90698139742374,3.8953140870460494,8.824931183806469e-05,
20,-8.125342817469024,3.50729420859755,0.00011011355821689145,
21,-8.679360431444717,3.330623963362764,1.4593545789752613e-05,
22,-9.053977004993007,3.069931412763043,-3.456773746182766e-05,
23,-9.540387565577776,2.984413949636547,-1.3321113418270601e-05,
24,-10.006402296971807,2.7192650851366365,-6.839428300225504e-05,
25,-10.59627021308594,2.495591989567732,-8.302205612644375e-05,
26,-11.012568127102888,2.3919001868019603,-0.000252706809383111,
27,-11.717176470858714,1.9191647943772736,-0.00023349620644995674,
28,-12.024132302056994,1.7471970126377352,-0.0004196891107455396,
29,-12.520916149505453,1.424703098922838,-0.0005814985150199674,
30,-13.074921553062616,1.1050970813641463,-0.0005825567761927778,
31,-13.709565927047816,1.3025478131249004,-0.0006994189150605556,
32,-13.806779145465647,0.6328263820748123,-0.0006658014453049337,
33,-14.251627854829348,0.5298979290525319,-0.0005942166049025452,
34,-14.650614810596235,0.2751132787799113,-0.0005815340899104318,
35,-15.127916213755618,0.35150714832938146,-0.0005353924893739956,
36,-15.223592634033064,-0.01204610022771746,-0.0004913828672909481,
37,-15.52146507504592,0.07011285249575572,-0.0004953156129130402,
38,-15.550316883197553,-0.05929204336096916,-0.0006275029851274825,
39,-15.761701795808904,-0.17123158813549733,-0.000655821438439423,
40,-15.963322033733338,-0.31746204654293386,-0.0006897960477565618,
41,-16.02396797393963,-0.29745688698870243,-0.000656350346853447,
42,-16.363948445854334,-0.4279942695104215,-0.0006423899965207938,
43,-16.349200089902013,-0.4749138351913489,-0.0006811510857183315,
44,-16.304903621079546,-0.5942420514762761,-0.0007137164061116256,
45,-16.29542314035411,-0.7644411687451202,-0.0006965784729772802,
46,-16.36382874036437,-0.9622894094780432,-0.0005786500132189089,
47,-16.380609052709417,-1.135074083489799,-0.0006018803606890594,
48,-16.231059084805075,-1.2961399979389134,-0.0004775909533039942,
49,-16.166642839244226,-1.3774826693328563,-0.0004004945510271581,
50,-16.24403139954714,-1.808141725709538,-0.00028375130699582145,
51,-16.159097660807674,-2.067361924166528,-0.000245301461734191,
52,-16.054187182408377,-2.415259860112794,-0.00020387083681434935,
53,-16.15677059593162,-2.8769350143027888,-9.34975853299248e-05,
54,-15.859920754713272,-3.125499702204608,3.334097402320435e-05,
55,-15.730328464514926,-3.618111006450357,0.0001529579144499269,
56,-15.630660215749181,-3.68914302570111,0.00010840788228667229,
57,-15.942676399161044,-4.421778639202708,0.00021457151780748172,
58,-15.760760476417182,-4.997282790629264,0.00022352272285134674,
59,-15.82215419425009,-5.344169003020388,0.0002549207226538125,
60,-15.982310072013,-5.915935047069056,0.0003790599716781555,
61,-15.662926996943355,-6.755173127145039,0.0004442674070187623,
62,-15.803259982110887,-7.400698718561211,0.0005580213563729018,
63,-15.677092536181902,-8.259110582719973,0.0006785736154174891,
64,-15.545009525874612,-9.437843946355175,0.0009893219622863312,
65,-15.592777845273197,-10.256612451005628,0.0011395817489391652,
66,-15.788266610348145,-11.233571695578314,0.0011599402990141695,
67,-15.971418075258292,-12.217554984911919,0.0014102280930114194,
68,-16.060129385118593,-13.141130471629904,0.0015755398871927333,
69,-15.945682224698338,-14.23052795102408,0.001757947971131053,
70,-16.156440271902092,-15.448934321287826,0.0018938269873685722,
71,-16.11222370860777,-16.529768284374178,0.0020199120829489546,
72,-16.34641713503258,-17.633913951577654,0.002200383377710607,
73,-16.471767359791123,-19.02636236722263,0.002295867488682956,
74,-16.42363504995594,-20.22771001506003,0.0023958482780544214,
75,-16.483976066641617,-21.268290784604286,0.002463337498470766,
76,-16.70521106128072,-22.297565431000514,0.002703264254497204,
77,-16.724250017362202,-23.251742401742177,0.0027565829145560763,
78,-17.03357884293466,-24.211908469388174,0.0027182053176833167,
79,-16.844951149070646,-25.37869031112964,0.002757869051241632,
80,-16.967337406640738,-26.247057729207945,0.0027144230883337124,
81,-17.156574817731205,-27.3808329122051,0.0024162419203975815,
82,-17.082285959771063,-28.27938098874749,0.002319609176050445,
83,-17.44166618987046,-29.20337472791922,0.002377078958955923,
84,-17.915282889788656,-29.967356146250054,0.0024206299594157947,
85,-18.21708878287467,-30.190547899091335,0.0022511269234484522,
86,-18.311191324063017,-30.81473461243194,0.0022882409687351056,
87,-18.665424096310453,-31.33529967268209,0.002206703218368733,
88,-18.683058215919758,-31.892592344848964,0.002126223381130094,
89,-19.336981078916374,-31.871233378360365,0.0018907110144134242,
90,-19.486330109425786,-32.30287867314267,0.0017475340066673774,
91,-19.528809244438186,-32.18169209883005,0.0016305135292811602,
92,-19.571094825160053,-31.79090663777456,0.0014492494913705281,
93,-19.613490238325944,-31.76820341623091,0.00127389941912757,
94,-19.414474032575285,-31.513638763218182,0.0010224905070925355,
95,-19.50154085253756,-31.016545112609272,0.0007651103518017724,
96,-19.09133419510667,-30.495757076699903,0.00048607399138143144,
97,-19.004291793734936,-29.83705470827551,0.00022501876476403943,
98,-18.810165013186136,-29.379642211365706,-6.226179825895555e-05,
99,-18.18916136782579,-28.790839820458707,-0.0001878627378148238,
100,-17.72268415164683,-28.01026019591609,-0.00038313546023795793,
101,-17.119463370415772,-27.325804735623493,-0.0006824697050693582,
102,-16.482819719554513,-26.431830655754894,-0.001052902794303525,
103,-15.688405635532959,-25.252591720123924,-0.0014976211973404111,
104,-14.7761737678195,-24.596540054122272,-0.0019373913897299494,
105,-14.043778745038509,-23.71017330689216,-0.002147345003774252,
106,-12.918011395320477,-22.974453674526124,-0.0022964283745600146,
107,-11.90365766934844,-21.970534611385993,-0.002436478913734847,
108,-10.875067512949286,-21.290379613114972,-0.0026037233837809424,
109,-9.85590319817208,-20.312124757788588,-0.0025242490151908955,
110,-8.516583473095665,-19.374883353337623,-0.0026190263188724926,
111,-7.548225441573699,-18.2744258888413,-0.0027457547342185453,
112,-6.521862352960831,-17.318695370450115,-0.0027614631838139446,
113,-5.431869682207321,-16.385790642451767,-0.0028161141355981024,
114,-4.449644547872872,-15.114702881289915,-0.0027618000139288477,
115,-3.311295907753589,-14.107850201954271,-0.0028538651370890004,
116,-2.6421710419394913,-12.879882657779739,-0.0030595316818919464,
117,-2.103767939203898,-11.960614220535675,-0.003176588001118,
118,-1.4540879574212795,-10.711900496383613,-0.0030569286751211317,
119,-0.7822644904862273,-9.842044145821333,-0.002985133443509904,
120,-0.45882280082791027,-8.371375772151424,-0.0029487769665117415,
121,-0.08824308771815481,-7.439968282974391,-0.002949643752490425,
122,0.47309235047345055,-6.115816913149253,-0.003107418547896148,
123,0.7308366517297742,-4.541336233197484,-0.0030525339260770116,
124,0.7009539652600267,-3.354755393885007,-0.0030331345527552615,
125,0.9353979122143414,-2.384137963008172,-0.0030440044032242182,
126,1.0413521110984405,-0.96768338036307,-0.0032419316102711743,
127,1.2256924032108216,-0.23302573100866653,-0.003362077907349926,
128,0.8432122169270713,0.8622063777019875,-0.0034805979652233806,
129,0.8175193968434797,2.3710647491860755,-0.0034864630749745183,
130,0.6872363822850005,3.651345564065288,-0.003583875663267371,
131,0.8227154801595375,4.8976238344089325,-0.003554351749995563,
132,0.8833853043764677,5.8433284121755165,-0.0036884543699449426,
133,0.8765126673276242,6.9183876974787,-0.003751209245304828,
134,0.8601175860094799,8.023141837268895,-0.0037045990685964396,
135,1.2800743625507778,8.92479480906077,-0.003813077960131639,
136,1.1563140920291204,9.945394903805166,-0.004048723332762202,
137,1.073854797983259,10.744276374589063,-0.004020760187131754,
138,1.282689669083453,11.783494849641698,-0.004134588330042997,
139,1.2467963597251241,12.200770096183504,-0.004219613201988401,
140,1.543200317525077,13.06974961310657,-0.004343709004410406,
141,1.8943178003789853,13.582600950587988,-0.004109042760356258,
142,2.2871192534354634,14.342574620275531,-0.004133660643182338,
143,2.4431147841374425,14.500916475557542,-0.004189387421087217,
144,2.861871336258929,14.6668302522345,-0.004169415362344615,
145,3.3287599840946314,15.271126151880946,-0.004348600736157967,
146,3.8153621106504616,15.027418772297963,-0.004413419087845773,
147,4.3151715157534625,15.038465299116837,-0.004450121176898292,
148,4.655386080206789,15.253574415343568,-0.004641392153994769,
149,5.116857199586441,15.107637359069802,-0.004519801105396991,
150,5.6827401414963745,14.893187009497645,-0.0043663261190936605,
151,6.326201061369858,14.576294833569154,-0.0042063790270568694,
152,6.749924606228248,14.338629502272404,-0.00411327811393304,
153,7.343263239667088,14.023090700090329,-0.004017729353969525,
154,7.876746740914442,13.826521014134382,-0.003942367556083751,
155,8.111705858303154,13.346412006542323,-0.003735684828821053,
156,8.915915535647152,13.208731911598498,-0.003543795364714891,
157,9.364229648218839,12.777245406738363,-0.0034132136652301184,
158,9.779557046946806,12.586320923570714,-0.003294531133586239,
159,10.072795467665856,12.17108477915734,-0.0029469946993531965,
160,10.351012295802967,11.90935380643992,-0.002847164177346576,
161,10.921910353737438,11.82639968969007,-0.0024101875213122376,
162,11.067818608258555,11.545096562215276,-0.002336748053699514,
163,11.120652319457221,11.69032123214526,-0.0021004512974032224,
164,11.38846421378522,11.693823429689346,-0.0018494453360023014,
